周期,工具名称,页面,页面访问量,完整测试数,可用反馈数,问题反馈数,愿意继续使用数,主要问题,本周决定
第1周,初见 · 新生认识助手,freshman-helper.html,,,,,,,待公测
第1周,云云记忆,yunyun-memory.html,,,,,,,待公测
第1周,Excel 联系人转 VCF,excel-to-vcf.html,,,,,,,待公测
第1周,学生名单清洗器,student-roster-cleaner.html,,,,,,,待公测
第1周,学生信息提取助手,table-match-helper.html,,,,,,,待公测
第1周,多表合并总表助手,multi-table-merger.html,,,,,,,待公测
第1周,总表拆分与批量导出,table-splitter.html,,,,,,,待公测
第1周,模板收表汇总助手,template-collection-merger.html,,,,,,,待公测
第1周,名单版本对比助手,table-diff-helper.html,,,,,,,待公测
第1周,表格分类统计助手,table-summary-helper.html,,,,,,,待公测
第1周,成绩分析助手,grade-analysis-helper.html,,,,,,,待公测
第1周,材料收集核对助手,material-collection-checker.html,,,,,,,待公测
第1周,批量文件重命名助手,batch-file-renamer.html,,,,,,,待公测
第1周,通知文本批量生成器,notice-text-generator.html,,,,,,,待公测
第1周,表格隐私脱敏助手,table-privacy-masker.html,,,,,,,待公测
第1周,批量通知单与证书生成助手,batch-document-generator.html,,,,,,,待公测
第1周,随机分组与座位安排助手,group-seat-planner.html,,,,,,,待公测
第1周,考勤记录整理助手,attendance-summary-helper.html,,,,,,,待公测
